city,lat,lng,STATE,population,id
Central Falls,41.89,-71.3934,RI,19359,1840003286
Cranston,41.7658,-71.4858,RI,81202,1840003287
Warwick,41.7062,-71.4334,RI,80871,1840003344
East Providence,41.8065,-71.3565,RI,47600,1840003288
Coventry,41.6933,-71.6611,RI,34873,1840066132
Cumberland,41.9703,-71.4198,RI,34498,1840066127
South Kingstown,41.4458,-71.5441,RI,30712,1840106244
Johnston,41.8274,-71.5201,RI,29159,1840106232
West Warwick,41.6986,-71.5156,RI,28709,1840106223
North Kingstown,41.5687,-71.4629,RI,26178,1840066135
Newport,41.4803,-71.3205,RI,24942,1840003355
Westerly,41.3635,-71.7897,RI,22626,1840026106
Bristol,41.6827,-71.2694,RI,22318,1840106238
Lincoln,41.9171,-71.4505,RI,21630,1840106233
Smithfield,41.9015,-71.5308,RI,21611,1840106200
Portsmouth,41.5922,-71.2744,RI,17463,1840066124
Burrillville,41.9706,-71.6984,RI,16363,1840106236
Barrington,41.7443,-71.3145,RI,16218,1840106239
Middletown,41.5174,-71.2772,RI,16100,1840066121
Tiverton,41.6091,-71.1742,RI,15870,1840066125
Narragansett,41.4291,-71.4669,RI,15601,1840106247
East Greenwich,41.6362,-71.5058,RI,13094,1840066133
North Smithfield,41.9727,-71.5514,RI,12301,1840106199
Valley Falls,41.9234,-71.3923,RI,12056,1840003295
Newport East,41.5158,-71.2878,RI,11211,1840073469
Scituate,41.7926,-71.6202,RI,10529,1840106234
Warren,41.7282,-71.2629,RI,10492,1840066117
Wakefield-Peacedale,41.4461,-71.5004,RI,9044,1840073472
Greenville,41.88,-71.5549,RI,8388,1840003292
Cumberland Hill,41.9736,-71.4605,RI,8062,1840003291
Kingston,41.4738,-71.5236,RI,6983,1840003365
Jamestown,41.5149,-71.377,RI,5505,1840066118
Pascoag,41.9518,-71.7041,RI,5041,1840003294
Glocester,41.8935,-71.689,RI,9993,1840106230
Hopkinton,41.4782,-71.7538,RI,8112,1840026107
Charlestown,41.3973,-71.6702,RI,7762,1840066130
Richmond,41.4983,-71.6608,RI,7608,1840106243
Exeter,41.5658,-71.6307,RI,6761,1840066134
West Greenwich,41.6291,-71.6672,RI,6118,1840106222
Charleston,32.8151,-79.963,SC,616085,1840015163
Columbia,34.0376,-80.9037,SC,566166,1840014730
Greenville,34.8362,-82.3649,SC,467894,1840013501
Myrtle Beach,33.7096,-78.8842,SC,260487,1840014717
Spartanburg,34.9437,-81.9256,SC,183184,1840015482
Mauldin,34.7866,-82.2997,SC,132402,1840015476
Rock Hill,34.9413,-81.025,SC,115963,1840014618
North Charleston,32.9067,-80.0722,SC,110861,1840015164
Florence,34.1782,-79.7872,SC,91311,1840013643
Mount Pleasant,32.8533,-79.8269,SC,86668,1840017286
Anderson,34.5212,-82.6478,SC,77426,1840013579
Hilton Head Island,32.1896,-80.7499,SC,74500,1840016974
Sumter,33.9392,-80.393,SC,72131,1840015612
Beaufort,32.4606,-80.7245,SC,54207,1840013818
Summerville,33.0016,-80.1795,SC,50388,1840016886
Goose Creek,32.9922,-80.0052,SC,42619,1840013761
Greenwood,34.1945,-82.1542,SC,42174,1840013626
Orangeburg,33.4928,-80.8671,SC,31085,1840014812
Greer,34.9315,-82.2316,SC,30899,1840013502
Aiken,33.5304,-81.727,SC,30721,1840013722
Seneca,34.6816,-82.9609,SC,26818,1840015506
Lancaster,34.7247,-80.7802,SC,25247,1840014630
Hanahan,32.9302,-80.0031,SC,24885,1840014256
Conway,33.8403,-79.0422,SC,23714,1840014716
Socastee,33.6871,-79.0086,SC,23567,1840013647
North Augusta,33.5214,-81.9547,SC,22930,1840014788
Taylors,34.9157,-82.3124,SC,22919,1840013498
Simpsonville,34.7291,-82.2572,SC,22072,1840015477
St. Andrews,34.051,-81.1057,SC,21977,1840135211
Gaffney,35.0742,-81.6558,SC,21460,1840013515
Lexington,33.9891,-81.2195,SC,21265,1840016724
Bluffton,32.2135,-80.9316,SC,21085,1840015799
Easley,34.819,-82.5828,SC,21053,1840013526
Wade Hampton,34.8821,-82.3336,SC,20213,1840035800
Fort Mill,35.0062,-80.9388,SC,17557,1840016479
Five Forks,34.8069,-82.2271,SC,17500,1840013491
West Columbia,33.9928,-81.0925,SC,17265,1840015605
Clemson,34.6838,-82.8124,SC,16649,1840014626
Ladson,33.0093,-80.1078,SC,16511,1840014254
North Myrtle Beach,33.823,-78.709,SC,16310,1840014718
Seven Oaks,34.0474,-81.1434,SC,15631,1840035850
Gantt,34.7837,-82.4027,SC,15393,1840013492
Red Hill,33.7778,-79.0111,SC,15015,1840013649
Berea,34.8802,-82.4653,SC,14966,1840013495
Hartsville,34.3679,-80.0829,SC,14856,1840013610
Dentsville,34.0754,-80.9546,SC,14204,1840013089
Camden,34.2565,-80.6087,SC,14200,1840013598
Cayce,33.9458,-81.0433,SC,14086,1840014734
Port Royal,32.3557,-80.7027,SC,12886,1840016975
Parker,34.8514,-82.4512,SC,12540,1840035848
Irmo,34.1016,-81.1953,SC,12250,1840016723
Lake Wylie,35.0997,-81.0677,SC,12170,1840013518
James Island,32.7353,-79.9396,SC,12083,1840043446
Newberry,34.2822,-81.6012,SC,12074,1840014694
Georgetown,33.3595,-79.2958,SC,11913,1840013743
Bennettsville,34.6304,-79.6874,SC,11527,1840013583
Clinton,34.4777,-81.8636,SC,11193,1840014667
Moncks Corner,33.1714,-80.0122,SC,10933,1840016863
Forest Acres,34.0324,-80.9717,SC,10380,1840013653
Oak Grove,33.9809,-81.1438,SC,10373,1840135088
Tega Cay,35.039,-81.0111,SC,10339,1840015488
Laurens,34.5022,-82.0207,SC,10051,1840014668
Woodfield,34.0587,-80.9309,SC,9738,1840035853
Garden City,33.5927,-79.007,SC,9702,1840013645
Union,34.7234,-81.6247,SC,9348,1840015533
Dillon,34.423,-79.369,SC,9281,1840014676
Powdersville,34.7825,-82.4958,SC,9216,1840013581
Red Bank,33.9296,-81.2321,SC,9214,1840013658
Little River,33.8787,-78.6393,SC,9208,1840013648
Sans Souci,34.8901,-82.4241,SC,9187,1840013497
Boiling Springs,35.045,-81.9779,SC,9152,1840013509
Chester,34.705,-81.2132,SC,9039,1840014663
Walterboro,32.901,-80.676,SC,9013,1840015757
Murrells Inlet,33.5567,-79.0591,SC,8752,1840013742
Fountain Inn,34.6995,-82.1999,SC,8688,1840013500
Lake City,33.8676,-79.7533,SC,8489,1840014715
York,34.9967,-81.234,SC,8351,1840015489
Burton,32.4233,-80.7454,SC,8169,1840013816
Sangaree,33.0328,-80.1253,SC,8161,1840035792
Lugoff,34.2216,-80.6849,SC,8152,1840013597
Cheraw,34.6954,-79.9083,SC,7864,1840016582
Clover,35.1123,-81.2201,SC,7780,1840016478
Centerville,34.5256,-82.7161,SC,7004,1840134659
Marion,34.1787,-79.3966,SC,6961,1840015595
Welcome,34.8204,-82.46,SC,6891,1840013499
Laurel Bay,32.4599,-80.7869,SC,6572,1840013817
Lake Murray of Richland,34.1209,-81.2653,SC,6402,1840073861
Valley Falls,35.0073,-81.9692,SC,6201,1840013512
Piedmont,34.7074,-82.4651,SC,6155,1840013580
Homeland Park,34.4644,-82.6593,SC,6148,1840013578
Darlington,34.3015,-79.8672,SC,5999,1840014693
Forestbrook,33.7243,-78.9678,SC,5950,1840035797
Belton,34.5237,-82.4937,SC,5753,1840013582
Kingstree,33.6665,-79.8293,SC,5670,1840016790
Batesburg-Leesville,33.9124,-81.5312,SC,5281,1840003900
Mullins,34.2042,-79.2535,SC,5185,1840014719
Central,34.7234,-82.7788,SC,5179,1840016494
Travelers Rest,34.9684,-82.4417,SC,5108,1840015478
Abbeville,34.1787,-82.3774,SC,5088,1840013618
Belvedere,33.5369,-81.9424,SC,5063,1840013720
Hardeeville,32.295,-81.0318,SC,5977,1840013808
Ridgeland,32.4681,-80.9178,SC,5341,1840018086
Hollywood,32.7524,-80.2105,SC,5179,1840017281
Sioux Falls,43.5397,-96.7321,SD,180204,1840002648
Pierre,44.3748,-100.3205,SD,14803,1840000313
Hartford,43.621,-96.9424,SD,3237,1840002653
Rapid City,44.0716,-103.2205,SD,88979,1840002180
Aberdeen,45.4646,-98.468,SD,28264,1840002032
Brookings,44.3022,-96.7859,SD,24400,1840002506
Watertown,44.9094,-97.1532,SD,21837,1840002156
Mitchell,43.7296,-98.0337,SD,15297,1840002642
Yankton,42.8901,-97.3926,SD,14699,1840003058
Huron,44.3622,-98.2102,SD,13164,1840002373
Spearfish,44.4912,-103.8167,SD,12675,1840002374
Vermillion,42.7811,-96.9255,SD,10691,1840003082
Box Elder,44.1129,-103.0806,SD,9600,1840002183
